Raymond Suit,Clothing,"8,999.00",Raymond,1,1,1
Peter England Blazer,Clothing,"4,999.00",Peter England,2,2,2
Levis Jeans,Clothing,"3,499.00",Levis,3,3,3
Fabindia Kurta Set,Clothing,"2,499.00",Fabindia,4,4,4
Allen Solly Shirt,Clothing,"1,899.00",Allen Solly,5,5,5
Van Heusen Formal Shirt,Clothing,"1,899.00",Van Heusen,6,5,5
Samsung Galaxy S24,Electronics,"79,999.00",Samsung,1,1,1
iPhone 15,Electronics,"79,900.00",Apple,2,2,2
OnePlus 12,Electronics,"64,999.00",OnePlus,3,3,3
Xiaomi 14,Electronics,"54,999.00",Xiaomi,4,4,4
Realme GT 6,Electronics,"42,999.00",Realme,5,5,5
Vivo V30 Pro,Electronics,"41,999.00",Vivo,6,6,6
Tata Tea Premium,Food & Beverages,450.00,Tata,1,1,1
Patanjali Honey,Food & Beverages,450.00,Patanjali,2,1,1
Amul Dark Chocolate,Food & Beverages,299.00,Amul,3,3,2
Haldirams Bhujia,Food & Beverages,180.00,Haldirams,4,4,3
MTR Ready Mix,Food & Beverages,120.00,MTR,5,5,4
Britannia Good Day Cookies,Food & Beverages,65.00,Britannia,6,6,5
LG Washing Machine,Home & Kitchen,"35,999.00",LG,1,1,1
Godrej Refrigerator,Home & Kitchen,"28,999.00",Godrej,2,2,2
Philips Air Fryer,Home & Kitchen,"8,999.00",Philips,3,3,3
Bajaj Mixer Grinder,Home & Kitchen,"4,599.00",Bajaj,4,4,4
Havells Ceiling Fan,Home & Kitchen,"2,299.00",Havells,5,5,5
Prestige Pressure Cooker,Home & Kitchen,"2,299.00",Prestige,6,5,5
